epoch,AUC,accuracy,loss,val_AUC,val_accuracy,val_loss
0,0.5816224,0.55397725,0.6825205994756905,0.71097,0.60926574,0.6466902181818769
1,0.70616627,0.5979021,0.6516669461360345,0.7553869,0.61625874,0.6361148840897567
2,0.74442583,0.611451,0.635880409472889,0.74917626,0.60926574,0.6315267250671254
3,0.7651169,0.6184441,0.6271154899280388,0.75315875,0.61713284,0.6270391392957914
4,0.7786714,0.62237763,0.621328311054023,0.77334166,0.61975527,0.6213122568764053
5,0.7926021,0.6271853,0.6137757354474568,0.76909477,0.6145105,0.6262771728989127
6,0.79830927,0.63439685,0.6080932894369939,0.79598475,0.6241259,0.6127959629455646
7,0.8197451,0.6424825,0.5994846035133709,0.7930125,0.6284965,0.6074105201067624
8,0.834706,0.7506556,0.5889895627652848,0.80795974,0.7534965,0.6122441218866335
9,0.8518533,0.8002622,0.5772492216079386,0.7826529,0.75262237,0.6049556290353095
10,0.85279804,0.80791086,0.5724932022028036,0.8070367,0.75961536,0.6001719034218288
11,0.8652504,0.81490386,0.564478151604429,0.7887046,0.72814685,0.6077354942168389
12,0.8762253,0.83413464,0.5521450412127521,0.83021635,0.77797204,0.5845217998628016
13,0.8854941,0.8430944,0.5439795748545573,0.7895511,0.73426574,0.6008972573530423
14,0.8871664,0.84768355,0.5381588134002853,0.7859614,0.74825174,0.5898334133875119
15,0.9061825,0.87194055,0.5214073793975623,0.8084992,0.7744755,0.5785989771772931
16,0.9142217,0.8765297,0.5167675619046171,0.8044159,0.7701049,0.5771590852654064
17,0.91461694,0.8763112,0.5139616780972981,0.8018714,0.7674825,0.5770911095025656
18,0.91973126,0.888549,0.5058514240842599,0.81115514,0.7631119,0.5793835827103861
19,0.92591727,0.8937937,0.5021033867464199,0.8326676,0.7937063,0.5613008520819924
20,0.926599,0.8972902,0.5002687795387282,0.8157505,0.77272725,0.5720125597256881
21,0.9237009,0.8951049,0.5008634535165933,0.8126085,0.78933567,0.5683665250564789
22,0.92766714,0.8951049,0.49888623688187633,0.8091731,0.77185315,0.574154456387033
23,0.9321604,0.90384614,0.49539368370404613,0.80850834,0.77884614,0.5710639236690281
24,0.93105346,0.89554197,0.4977734769349332,0.8191354,0.78496504,0.5657618969053655
25,0.93359184,0.9014423,0.49517575344005665,0.8158482,0.78583914,0.5678872962098022
26,0.927963,0.89532346,0.4987865962557026,0.81652373,0.78583914,0.5676556031603913
27,0.93063027,0.89903843,0.49719470416332456,0.80672187,0.7823427,0.5708486423208997
28,0.93259025,0.90340906,0.4953409811104094,0.81091684,0.77797204,0.5706270949823873
29,0.9286319,0.89641607,0.49765633004945475,0.80282503,0.7753497,0.5742487544780011
