epoch,AUC,accuracy,loss,val_AUC,val_accuracy,val_loss
0,0.53743595,0.5367133,0.6958343277756984,0.5715515,0.5769231,0.8428820088193133
1,0.6638982,0.63286716,0.6488099982896884,0.7014722,0.67132866,0.62499050452159
2,0.75395817,0.694493,0.5862264642557065,0.7354226,0.69055945,0.6033636035619082
3,0.78584296,0.7303322,0.5439430570255939,0.70471054,0.66608393,0.8982721148254155
4,0.8245399,0.7652972,0.49924584514285614,0.74617493,0.69755244,0.9069209115228036
5,0.84770584,0.77797204,0.4659179092508617,0.7603535,0.7132867,0.8646803133033373
6,0.87318754,0.8006993,0.4220843143676492,0.7488233,0.6923077,1.0225703014529772
7,0.9060634,0.8426573,0.36259859860663046,0.7668223,0.72902095,0.7391330975765636
